Bölüm,Ders Adı:,Sınav Tarihi:,Sınav Saati:,Sınıflar
Makine Mühendisliği (Ö.Ö),TDİ101 Türk Dili I,1/15/2024,12:30,E201
Makine Mühendisliği (Ö.Ö),TDİ101 Türk Dili I,1/15/2024,12:30,E202
Makine Mühendisliği (Ö.Ö),MKB307 Akışkanlar Mekaniği II,1/15/2024,13:30,E201
Makine Mühendisliği (Ö.Ö),MKB307 Akışkanlar Mekaniği II,1/15/2024,13:30,E202
Makine Mühendisliği (Ö.Ö),MKB307 Akışkanlar Mekaniği II,1/15/2024,13:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),MKB405 Nümerik Kontrollü Takım Tezgahları,1/15/2024,15:30,E201
Makine Mühendisliği (Ö.Ö-İÖ),MKB405 Nümerik Kontrollü Takım Tezgahları,1/15/2024,15:30,E202
Makine Mühendisliği (Ö.Ö-İÖ),MKB405 Nümerik Kontrollü Takım Tezgahları,1/15/2024,15:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E201
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E202
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E301
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E302
Makine Mühendisliği (İÖ),TDİ101 Türk Dili I,1/15/2024,17:30,E401
Makine Mühendisliği (İÖ),TDİ101 Türk Dili I,1/15/2024,17:30,E402
Makine Mühendisliği (İÖ),MKB205 Mukavemet I,1/15/2024,18:00,E401
Makine Mühendisliği (İÖ),MKB205 Mukavemet I,1/15/2024,18:00,E402
Makine Mühendisliği (İÖ),MKB205 Mukavemet I,1/15/2024,18:00,E403
Makine Mühendisliği (İÖ),MKB307 Akışkanlar Mekaniği II,1/15/2024,19:30,E401
Makine Mühendisliği (İÖ),MKB307 Akışkanlar Mekaniği II,1/15/2024,19:30,E402
Makine Mühendisliği (Ö.Ö),ATİ101 Atatürk İlkeleri ve İnkılâp Tarhi I,1/16/2024,12:30,E201
Makine Mühendisliği (Ö.Ö),ATİ101 Atatürk İlkeleri ve İnkılâp Tarhi I,1/16/2024,12:30,E202
Makine Mühendisliği (Ö.Ö),FZK107 Fizik I,1/16/2024,13:30,E201
Makine Mühendisliği (Ö.Ö),FZK107 Fizik I,1/16/2024,13:30,E202
Makine Mühendisliği (Ö.Ö),FZK107 Fizik I,1/16/2024,13:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),MKSB417 Enerji Ekonomisi,1/16/2024,15:30,E301
Makine Mühendisliği (İÖ),BMB213 Bilgisayar Programlamasına Giriş,1/16/2024,15:30,E202
Makine Mühendisliği (İÖ),BMB213 Bilgisayar Programlamasına Giriş,1/16/2024,15:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),MKSB402 Isı Değiştiricileri,1/16/2024,16:30,E302
Makine Mühendisliği (İÖ),ATİ101 Atatürk İlkeleri ve İnkılâp Tarhi I,1/16/2024,17:30,E401
Makine Mühendisliği (İÖ),FZK107 Fizik I,1/16/2024,18:00,E401
Makine Mühendisliği (İÖ),FZK107 Fizik I,1/16/2024,18:00,E402
Makine Mühendisliği (Ö.Ö),YDİ109 Yabancı Dil I (İngilizce),1/17/2024,12:30,E201
Makine Mühendisliği (Ö.Ö),YDİ109 Yabancı Dil I (İngilizce),1/17/2024,12:30,E202
Makine Mühendisliği (Ö.Ö),İSGL101 İş Sağlığı ve Güvenliği I,1/17/2024,13:30,E201
Makine Mühendisliği (Ö.Ö),İSGL101 İş Sağlığı ve Güvenliği I,1/17/2024,13:30,E202
Makine Mühendisliği (İÖ),YDİ109 Yabancı Dil I (İngilizce),1/17/2024,17:30,E401
Makine Mühendisliği (İÖ),YDİ109 Yabancı Dil I (İngilizce),1/17/2024,17:30,E402
Makine Mühendisliği (İÖ),MKB309 Mekanizma Tekniği,1/17/2024,18:00,E401
Makine Mühendisliği (İÖ),MKB309 Mekanizma Tekniği,1/17/2024,18:00,E402
Makine Mühendisliği (İÖ),MKB309 Mekanizma Tekniği,1/17/2024,18:00,E403
Makine Mühendisliği (İÖ),MKB201 Malzeme Bilgisi II,1/17/2024,19:30,E401
Makine Mühendisliği (İÖ),MKB201 Malzeme Bilgisi II,1/17/2024,19:30,E402
Makine Mühendisliği (Ö.Ö),LIC002 Lineer Cebir,1/18/2024,13:30,E201
Makine Mühendisliği (Ö.Ö),LIC002 Lineer Cebir,1/18/2024,13:30,E202
Makine Mühendisliği (Ö.Ö),LIC002 Lineer Cebir,1/18/2024,13:30,E203
Makine Mühendisliği (Ö.Ö),MKB411 Hidrolik Sistemler,1/18/2024,13:30,E301
Makine Mühendisliği (Ö.Ö),MKB411 Hidrolik Sistemler,1/18/2024,13:30,E302
Makine Mühendisliği (Ö.Ö),MAT111 Matematik I,1/18/2024,15:30,E201
Makine Mühendisliği (Ö.Ö),MAT111 Matematik I,1/18/2024,15:30,E202
Makine Mühendisliği (Ö.Ö),MAT111 Matematik I,1/18/2024,15:30,E203
Makine Mühendisliği (İÖ),LIC002 Lineer Cebir,1/18/2024,15:30,E301
Makine Mühendisliği (İÖ),LIC002 Lineer Cebir,1/18/2024,15:30,E302
Makine Mühendisliği (İÖ),MAT111 Matematik I,1/18/2024,17:30,E401
Makine Mühendisliği (İÖ),MAT111 Matematik I,1/18/2024,17:30,E402
Makine Mühendisliği (İÖ),MKB411 Hidrolik Sistemler,1/18/2024,17:30,E403
Makine Mühendisliği (Ö.Ö),BMB213 Bilgisayar Programlamasına Giriş,1/19/2024,14:30,E201
Makine Mühendisliği (Ö.Ö),BMB213 Bilgisayar Programlamasına Giriş,1/19/2024,14:30,E202
Makine Mühendisliği (Ö.Ö),BMB213 Bilgisayar Programlamasına Giriş,1/19/2024,14:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),MKSB438 Otomobil Gövdesi Yapısal Tasarım,1/19/2024,15:30,E302
Makine Mühendisliği (Ö.Ö-İÖ),TBT001 Temel Bilgi Teknolojileri Kullanımı,1/19/2024,16:30,E201
Makine Mühendisliği (Ö.Ö-İÖ),TBT001 Temel Bilgi Teknolojileri Kullanımı,1/19/2024,16:30,E202
Makine Mühendisliği (Ö.Ö-İÖ),TBT001 Temel Bilgi Teknolojileri Kullanımı,1/19/2024,16:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),TBT001 Temel Bilgi Teknolojileri Kullanımı,1/19/2024,16:30,E301
Makine Mühendisliği (İÖ),MKB301 Mühendislik Ekonomisi,1/19/2024,17:30,E401
Makine Mühendisliği (İÖ),MKB301 Mühendislik Ekonomisi,1/19/2024,17:30,E402
Makine Mühendisliği (Ö.Ö),MKB301 Mühendislik Ekonomisi,1/22/2024,8:30,E201
Makine Mühendisliği (Ö.Ö),MKB301 Mühendislik Ekonomisi,1/22/2024,8:30,E202
Makine Mühendisliği (Ö.Ö),MKB301 Mühendislik Ekonomisi,1/22/2024,8:30,E203
Makine Mühendisliği (Ö.Ö),MKB205 Mukavemet I,1/22/2024,10:30,E201
Makine Mühendisliği (Ö.Ö),MKB205 Mukavemet I,1/22/2024,10:30,E202
Makine Mühendisliği (Ö.Ö),MKB205 Mukavemet I,1/22/2024,10:30,E203
Makine Mühendisliği (İÖ),MKB305 Isı Transferi I,1/22/2024,17:30,E401
Makine Mühendisliği (İÖ),MKB305 Isı Transferi I,1/22/2024,17:30,E402
Makine Mühendisliği (İÖ),MKB305 Isı Transferi I,1/22/2024,17:30,E403
Makine Mühendisliği (Ö.Ö),MKB309 Mekanizma Tekniği,1/23/2024,8:30,E201
Makine Mühendisliği (Ö.Ö),MKB309 Mekanizma Tekniği,1/23/2024,8:30,E202
Makine Mühendisliği (Ö.Ö),MKB309 Mekanizma Tekniği,1/23/2024,8:30,E203
Makine Mühendisliği (Ö.Ö),MKB207 Elektroteknik ve Elektrik Makineleri,1/23/2024,10:30,E201
Makine Mühendisliği (Ö.Ö),MKB207 Elektroteknik ve Elektrik Makineleri,1/23/2024,10:30,E202
Makine Mühendisliği (İÖ),MKB207 Elektroteknik ve Elektrik Makineleri,1/23/2024,17:30,E401
Makine Mühendisliği (İÖ),MKB207 Elektroteknik ve Elektrik Makineleri,1/23/2024,17:30,E402
Makine Mühendisliği (Ö.Ö),MKB203 Dinamik,1/24/2024,8:30,E201
Makine Mühendisliği (Ö.Ö),MKB203 Dinamik,1/24/2024,8:30,E202
Makine Mühendisliği (Ö.Ö),MKB203 Dinamik,1/24/2024,8:30,E203
Makine Mühendisliği (Ö.Ö),MKB203 Dinamik,1/24/2024,8:30,E301
Makine Mühendisliği (Ö.Ö),MKB303 Termodinamik II,1/24/2024,10:30,E201
Makine Mühendisliği (Ö.Ö),MKB303 Termodinamik II,1/24/2024,10:30,E202
Makine Mühendisliği (Ö.Ö),MKB303 Termodinamik II,1/24/2024,10:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),MKSB430 Plastik Şekillendirme,1/24/2024,15:30,E302
Makine Mühendisliği (Ö.Ö-İÖ),MKSB423 Dinamik Sistemlerin Mekanik Analizi,1/24/2024,16:30,E301
Makine Mühendisliği (İÖ),MKB203 Dinamik,1/24/2024,16:30,E201
Makine Mühendisliği (İÖ),MKB203 Dinamik,1/24/2024,16:30,E202
Makine Mühendisliği (İÖ),MKB203 Dinamik,1/24/2024,16:30,E203
Makine Mühendisliği (İÖ),MKB311 Makine Elemanları I,1/24/2024,18:00,E201
Makine Mühendisliği (İÖ),MKB311 Makine Elemanları I,1/24/2024,18:00,E202
Makine Mühendisliği (İÖ),MKB311 Makine Elemanları I,1/24/2024,18:00,E203
Makine Mühendisliği (Ö.Ö),MKB201 Malzeme Bilgisi II,1/25/2024,8:30,E201
Makine Mühendisliği (Ö.Ö),MKB201 Malzeme Bilgisi II,1/25/2024,8:30,E202
Makine Mühendisliği (Ö.Ö),MKB305 Isı Transferi I,1/25/2024,10:30,E201
Makine Mühendisliği (Ö.Ö),MKB305 Isı Transferi I,1/25/2024,10:30,E202
Makine Mühendisliği (Ö.Ö),MKB305 Isı Transferi I,1/25/2024,10:30,E203
Makine Mühendisliği (İÖ),MKB303 Termodinamik II,1/25/2024,17:30,E401
Makine Mühendisliği (İÖ),MKB303 Termodinamik II,1/25/2024,17:30,E402
Makine Mühendisliği (İÖ),MKB303 Termodinamik II,1/25/2024,17:30,E403
Makine Mühendisliği (İÖ),İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,19:00,E401
Makine Mühendisliği (İÖ),İSGL101 İş Sağlığı ve Güvenliği I,1/25/2024,19:00,E402
Makine Mühendisliği (Ö.Ö),KMY004 Genel Kimya,1/26/2024,8:30,E201
Makine Mühendisliği (Ö.Ö),KMY004 Genel Kimya,1/26/2024,8:30,E202
Makine Mühendisliği (Ö.Ö),MKB311 Makine Elemanları I,1/26/2024,10:30,E201
Makine Mühendisliği (Ö.Ö),MKB311 Makine Elemanları I,1/26/2024,10:30,E202
Makine Mühendisliği (Ö.Ö),MKB311 Makine Elemanları I,1/26/2024,10:30,E203
Makine Mühendisliği (İÖ),KMY004 Genel Kimya,1/26/2024,17:30,E401
Makine Mühendisliği (İÖ),KMY004 Genel Kimya,1/26/2024,17:30,E402
İnşaat Mühendisliği,İMB111 İNŞAAT TEKNİK RESMİ,1/15/2024,14:30,E102
İnşaat Mühendisliği,TDİ 101 TÜRK DİLİ I,1/15/2024,12:30,E102
İnşaat Mühendisliği,İMB241 MALZEME BİLİMİ,1/15/2024,15:30,E102
İnşaat Mühendisliği,İMSB460 MÜHENDİSLİK JEOLOJİSİ,1/15/2024,13:30,E102
İnşaat Mühendisliği,İMSB495 İNŞAAT MÜHENDİSLERİNE İNGİLİZCE I,1/15/2024,13:30,E102
İnşaat Mühendisliği,LIC001 LİNEER CEBİR,1/16/2024,13:30,E003
İnşaat Mühendisliği,ATI 101 ATATÜRK İLKELERİ VE İNKILAP TARİHİ,1/16/2024,12:30,E102
İnşaat Mühendisliği,İMB483 ÇELİK YAPILAR,1/16/2024,15:30,E102
İnşaat Mühendisliği,İMB353 TOPRAK İŞLERİ VE DEMİRYOLU,1/16/2024,14:30,E102
İnşaat Mühendisliği,FZK107 FİZİK I,1/17/2024,15:30,E102
İnşaat Mühendisliği,YDİ111 YABANCI DİL I,1/17/2024,12:30,E102
İnşaat Mühendisliği,İMB371 AKIŞKANLAR MEKANİĞİ,1/18/2024,13:30,E003
İnşaat Mühendisliği,İMB371 AKIŞKANLAR MEKANİĞİ,1/18/2024,13:30,E102
İnşaat Mühendisliği,İMSB451 DRENAJ TEKNİĞİ,1/18/2024,15:30,E102
İnşaat Mühendisliği,İMSB497 KIYI MÜHENDİSLİĞİ,1/18/2024,15:30,E102
İnşaat Mühendisliği,İMSB420 BETONARME YAPI TASARIMI,1/18/2024,15:30,E102
İnşaat Mühendisliği,İMSB439 YAPILARIN YALITIMI VE KORUNUMU,1/18/2024,15:30,E102
İnşaat Mühendisliği,İMB225 MUKAVEMET I,1/19/2024,15:30,E003
İnşaat Mühendisliği,İMB225 MUKAVEMET I,1/19/2024,15:30,E102
İnşaat Mühendisliği,İMSB496 İNŞAAT MÜHENDİSLERİNE İNGİLİZCE II,1/19/2024,14:30,E102
İnşaat Mühendisliği,MAT113 MATEMATİK I,1/22/2024,8:30,E001
İnşaat Mühendisliği,DFD002 DİFERANSİYEL DENKLEMLER,1/22/2024,10:30,E102
İnşaat Mühendisliği,İMSB469 BETONUN DAYANIKLILIĞI,1/23/2024,11:30,E102
İnşaat Mühendisliği,İMB119 İNŞAAT MÜHENDİSLİĞİNE YÖNELİM,1/23/2024,10:30,E102
İnşaat Mühendisliği,İMB383 BETONARME I,1/23/2024,8:30,E102
İnşaat Mühendisliği,İMB361 ZEMİN MEKANİĞİ,1/24/2024,8:30,E102
İnşaat Mühendisliği,İMB433 YAPIM YÖNETİMİ,1/24/2024,10:30,E102
İnşaat Mühendisliği,İSGL101 İŞ SAĞLIĞI VE GÜVENLİĞİ I,1/25/2024,15:30,E302
İnşaat Mühendisliği,BMB102 BİLGİSAYAR PROGRAMLAMA,1/25/2024,10:30,E102
İnşaat Mühendisliği,İMB471 SU KAYNAKLARI,1/25/2024,8:30,E102
İnşaat Mühendisliği,KMY005 GENEL KİMYA,1/26/2024,8:30,E102
İnşaat Mühendisliği,İMB231 MÜHENDİSLİK EKONOMİSİ,1/26/2024,14:30,E102
İnşaat Mühendisliği,İMB381 YAPI STATİĞİ I,1/26/2024,10:30,E102
İnşaat Mühendisliği,İMB487 İNŞAAT MÜHENDİSLİĞİ PROJESİ,1/26/2024,16:30,E102
Tekstil Mühendisliği,Türk Dili I,1/15/2024,12:30,E001
Tekstil Mühendisliği,Dokuma Hazırlık,1/15/2024,13:30,E001
Tekstil Mühendisliği,Polimer Teknolojisi,1/15/2024,14:30,E002
Tekstil Mühendisliği,Fizik I,1/15/2024,15:30,E001
Tekstil Mühendisliği,Atatürk İlkeleri ve İnkılap Tarihi I,1/16/2024,12:30,E001
Tekstil Mühendisliği,Doğal Lifler,1/16/2024,13:30,E001
Tekstil Mühendisliği,İplik Teknolojisi II,1/16/2024,13:30,E002
Tekstil Mühendisliği,İstatistik ve Olasılık,1/16/2024,15:30,E001
Tekstil Mühendisliği,Kontrol Sistemleri,1/16/2024,16:30,E002
Tekstil Mühendisliği,Yabancı Dil I,1/17/2024,12:30,E001
Tekstil Mühendisliği,Tekstil Kimyası,1/17/2024,13:30,E001
Tekstil Mühendisliği,Tekstilde Maliyet Hesapları,1/17/2024,14:30,E002
Tekstil Mühendisliği,Dokuma Teknolojisi II,1/17/2024,15:30,E001
Tekstil Mühendisliği,Boyama Teknolojisi I,1/18/2024,13:30,E001
Tekstil Mühendisliği,Tekstil Terbiyesinde Temel İşlemler,1/18/2024,15:30,E002
Tekstil Mühendisliği,Lif Takviyeli Kompozit Malzemeler,1/18/2024,16:30,E002
Tekstil Mühendisliği,Makine Elemanları,1/19/2024,14:30,E001
Tekstil Mühendisliği,Kumaş Analiz ve Tasarımı,1/19/2024,15:30,E002
Tekstil Mühendisliği,Matematik I,1/22/2024,8:30,E001
Tekstil Mühendisliği,Tekstil Muayeneleri I,1/22/2024,10:30,E001
Tekstil Mühendisliği,Konfeksiyon Teknolojisi,1/23/2024,9:30,E001
Tekstil Mühendisliği,Tekstil Mühendisliğine Giriş,1/23/2024,10:30,E002
Tekstil Mühendisliği,Diferansiyel Denklemler,1/23/2024,13:30,E002
Tekstil Mühendisliği,Mühendislik Etiği,1/24/2024,8:30,E001
Tekstil Mühendisliği,Örme Teknolojisi II,1/24/2024,9:30,E001
Tekstil Mühendisliği,İplikçilik Esasları,1/24/2024,10:30,E002
Tekstil Mühendisliği,Temel Bilgi Teknolojileri Kullanımı,1/25/2024,8:30,E001
Tekstil Mühendisliği,İş Sağlığı ve Güvenliği I,1/25/2024,15:30,E302
Tekstil Mühendisliği,Genel Kimya,1/26/2024,8:30,E001
Tekstil Mühendisliği,Mukavemet,1/26/2024,10:30,E001
Çevre Mühendisliği,Çevre Hukuku,1/15/2024,9:00,E403
Çevre Mühendisliği,Ölçme Bilgisi,1/15/2024,10:30,E403
Çevre Mühendisliği,Türk Dili 1,1/15/2024,12:30,E001
Çevre Mühendisliği,Akışkanlar Mekaniği,1/16/2024,9:00,E403
